Recorrido 1,Recorrido 2,Recorrido 3,Recorrido 4,Recorrido 5,Recorrido 6
15.34,11.29,4.98,7.23,12.68,7.77
12.67,11.19,4.66,7.24,11.17,7.35
10.92,10.25,1189.42,1189.42,11.63,10.69
8.45,8.09,4.98,1189.71,10.13,7.3
6.21,11.19,11.63,6.27,7.55,9.33
42.19,1189.32,9.45,5.3,38.85,17.98
1200.48,1189.47,7.55,7.55,1189.32,7.14
1200.51,20.98,4.01,7.77,1189.34,11.07
1200.45,22.36,4.98,6.58,1189.29,11.55
1200.38,22.64,22.36,11.63,1189.27,18.84
58.74,12.92,22.25,6.17,62.51,25.38
28.14,10.23,1189.47,17.29,29.26,18.92
25.09,7.87,81.86,15.69,23.8,32.72
54.63,1189.3,61.91,12.58,52.19,42.18
46.39,1189.3,52.53,33.29,45.75,43.65
40.52,435.34,55.91,16.12,42.69,137.06
1200.61,56.05,10.83,22.25,1189.44,29.89
41.27,1189.25,46.67,16.12,43.1,34.95
9.85,9.55,43.38,10.13,10.49,18.35
7.93,57.31,37.91,10.59,8.84,28.78
390.12,68.09,36.77,5.2,383.06,122.46
30.78,54.21,25.53,22.25,31.99,33.69
18.22,49.66,22.36,9.2,16.64,24.23
15.76,10.95,16.64,1189.41,16.01,14.25
14.37,55.23,82.3,4.34,15.45,39.88
9.68,1189.34,26.67,2.74,10.15,13.19
7.42,45.36,16.97,4.01,8.19,18.04
35.11,1189.42,10.83,8.19,37.23,19.22
34.98,35.09,34.58,4.01,36.09,27.67
6.89,11.53,55.08,2.4,7.77,20.27
29.87,49.49,23.22,4.01,28.0,26.43
25.94,43.98,18.55,3.64,26.67,23.84
21.38,57.29,56.34,3.59,22.54,34.54
14.25,57.87,1189.41,3.59,15.69,25.63
5.92,21.3,4.66,5.2,6.48,10.04
27.32,19.09,37.93,4.66,28.0,23.22
21.59,15.69,32.01,4.66,22.64,18.06
19.88,20.13,24.94,3.69,20.13,17.92
17.94,19.5,5.3,3.37,18.55,13.09
15.21,16.32,56.34,2.4,16.0,22.67
6.87,12.56,60.57,3.69,7.55,21.1
7.94,9.55,56.2,18.55,8.72,24.27
1200.52,9.45,53.55,37.47,1189.42,33.01
43.25,22.54,11.63,7.87,44.76,21.34
30.22,24.65,16.64,6.49,31.99,19.29
8.74,15.35,10.49,6.48,9.13,10.28
11.53,9.89,6.53,6.58,12.9,8.84
22.87,32.78,29.51,4.66,23.7,22.92
16.43,28.87,8.74,40.43,17.6,22.93
10.91,26.86,58.28,4.66,11.63,24.66
10.97,22.64,55.23,22.83,11.88,28.48
14.88,15.69,52.19,3.59,16.01,21.36
12.36,10.54,49.32,3.69,13.72,19.31
9.92,9.44,47.26,7.87,10.83,18.97
34.76,12.33,43.59,1189.41,35.87,30.05
30.84,61.25,50.0,5.3,31.99,37.47
57.43,53.74,22.81,23.51,55.95,38.93
14.78,49.98,58.85,5.61,15.11,32.02
9.71,42.48,60.38,3.69,10.13,29.4
7.35,37.01,58.46,6.15,7.87,27.5
7.98,39.75,56.05,2.35,8.42,26.89
60.15,31.21,6.27,3.59,62.37,26.07
48.12,62.92,48.16,9.44,49.32,42.55
50.03,10.49,43.44,9.54,49.42,27.3
55.92,9.89,44.08,7.45,56.64,28.62
55.73,9.1,42.59,19.09,56.61,31.49
55.4,6.58,43.69,19.07,56.2,31.08
55.01,9.2,42.59,18.22,56.05,31.7
48.39,9.45,48.35,16.0,49.66,30.9
43.18,13.72,36.09,29.94,44.47,31.12
57.98,11.53,37.01,18.55,58.6,31.69
35.22,39.29,32.78,42.69,36.45,37.28
55.78,23.78,28.41,60.42,56.24,41.45
50.34,18.24,24.26,36.91,51.61,33.04
45.63,12.92,19.82,29.41,46.77,26.62
59.92,22.64,3.69,29.41,61.68,28.21
58.27,6.92,6.6,26.95,60.01,25.19
